Went to bed;Woke up;Sleep Quality;Time in bed (seconds);Time asleep (seconds);Asleep after (seconds);Regularity;Did snore;Snore time (seconds);Coughing (per hour);City;Alertness score;Alertness reaction time (seconds);Alertness accuracy;Movements per hour;Wake up window start;Wake up window stop
2024-12-03 00:55:33;2024-12-03 09:35:28;89%;31194;29114;2079;—;false;0;0.0;;;;;1.9871581;;
2024-12-04 01:52:07;2024-12-04 10:35:55;90%;31427;29018;1047;84%;false;0;0.0;;87%;0,653;90%;1.9620086;;
2024-12-05 02:08:20;2024-12-05 10:51:38;100%;31398;28572;1360;90%;false;0;0.0;;;;;1.6427284;;
2024-12-06 02:16:03;2024-12-06 11:11:52;92%;32149;29898;642;92%;false;0;0.0;;;;;1.068012;;
2024-12-07 02:09:58;2024-12-07 10:16:20;62%;29182;25193;2820;94%;false;0;0.0;;;;;2.4694028;;
2024-12-08 03:01:24;2024-12-08 11:24:03;100%;30159;28651;1507;90%;false;0;0.0;;;;;0.63407314;;
2024-12-09 03:35:56;2024-12-09 11:18:56;94%;27780;26021;1759;90%;false;0;0.0;;;;;0.7033478;;
2024-12-10 03:08:10;2024-12-10 09:57:18;74%;24548;20211;1636;88%;false;0;0.0;;;;;1.1818397;;
2024-12-11 02:03:37;2024-12-11 09:59:50;100%;28572;26857;1714;90%;false;0;0.25199497;;;;;0.29231048;;
2024-12-12 01:03:52;2024-12-12 10:49:50;75%;35157;31876;2109;87%;false;0;0.10239782;;;;;2.4437609;;
2024-12-13 01:13:32;2024-12-13 09:57:20;37%;31428;26924;1361;89%;false;0;0.0;;;;;5.630688;;
2024-12-14 02:17:18;2024-12-14 10:25:29;65%;29290;23822;2050;88%;true;15;0.0;;;;;4.4243503;;
2024-12-15 03:14:25;2024-12-15 10:40:35;75%;26769;23557;1873;90%;false;0;0.0;;;;;2.2513907;;
2024-12-16 03:01:50;2024-12-16 10:57:21;72%;28531;24917;1997;91%;false;0;0.0;;;;;3.554242;;
2024-12-17 02:28:56;2024-12-17 09:33:51;70%;25494;20310;1189;90%;false;0;0.0;;;;;2.592996;;
2024-12-18 03:24:29;2024-12-18 10:26:01;76%;25291;23521;1770;88%;false;0;0.0;;;;;1.4991069;;
2024-12-21 03:23:16;2024-12-21 12:15:22;86%;31926;29584;957;85%;false;0;0.11276077;;;;;2.8088984;;
2024-12-22 03:26:13;2024-12-22 12:05:27;98%;31154;29388;1765;98%;false;0;0.0;;;;;1.0578192;;
2024-12-23 02:51:13;2024-12-23 11:21:54;80%;30641;25431;1327;94%;false;0;0.0;;;;;3.0680504;;
2024-12-24 02:38:10;2024-12-24 09:50:15;83%;25924;24455;1469;91%;false;0;0.0;;;;;0.8870829;;
2024-12-25 01:09:45;2024-12-25 11:07:23;92%;35858;34543;1314;84%;false;0;0.0;;;;;2.1643708;;
2024-12-26 02:30:43;2024-12-26 10:43:23;80%;29559;25618;985;83%;false;0;0.0;;;;;2.6894083;;
2024-12-27 03:32:01;2024-12-27 11:11:14;69%;27553;25900;1653;83%;false;0;0.0;;;;;3.4645321;;
2024-12-28 02:52:05;2024-12-28 11:32:47;85%;31242;28534;624;88%;false;0;0.1152295;;;;;2.648256;;
2024-12-30 03:39:00;2024-12-30 12:00:00;74%;30060;25551;1402;91%;false;0;0.0;;;;;3.6658607;;
2024-12-31 02:33:43;2024-12-31 09:58:20;86%;26676;22853;3823;82%;false;0;0.0;;;;;0.9643978;;
2025-01-02 01:14:45;2025-01-02 09:00:39;68%;27954;21711;1490;78%;false;0;0.0;;;;;3.7719097;;
2025-01-03 01:52:37;2025-01-03 10:24:49;89%;30731;28273;1126;82%;false;0;0.0;;;;;2.1173441;;
2025-01-06 01:22:56;2025-01-06 08:00:19;78%;23843;20664;1907;76%;true;32;0.0;;;;;0.81186444;;
2025-01-07 02:40:23;2025-01-07 09:39:17;81%;25134;22955;921;75%;false;0;0.0;;;;;0.8015568;;